"Region","Departement","FINESS","Hopital","CP","Routage","Logiciel_2014","Editeur","RPU_transmis","Nb_RPU_T1_2015","Logiciel_2015","Version_2015","Coment","Freq_remontee","DN_exhaus","DN_confor","DP_exhaus","DP_confor","MS_exhaus","MS_confor","Jours_manquants","coment2","reg.id"
"AQUITAINE","Gironde","330780263","PCL BORDEAUX RIVE DROITE","33310","LORMONT","SIDSU","RESURA","OUI","6584","SIDSU","2.62","Expertiz Santé sera probablement le futur outil","1440","100.0","100.0","27.3","27.3","99.2","99.2","0",NA,72
"AQUITAINE","Gironde","330780479","PCL BORDEAUX-NORD","33377","BORDEAUX cedex","SIDSU","RESURA","OUI","7005","SIDSU","2.62","Expertiz Santé sera probablement le futur outil","1440","100.0","100.0","95.8","95.8","99.2","99.2","0",NA,72
"AQUITAINE","Gironde","330780495","CL MUTUALISTE DU MEDOC","33340","LESPARRE MEDOC","SANOCOM","","OUI","3693","SANOCOM",NA,"changement d'outil prévu","1440","100.0","100.0","83.3","83.3","100.0","100.0","0",NA,72
"AQUITAINE","Gironde","330780529","CL MUTUALISTE DE PESSAC","33608","PESSAC CEDEX","SANOCOM","","OUI","3457","SANOCOM",NA,"changement d'outil prévu","1440","100.0","100.0","76.7","76.7","100.0","100.0","0",NA,72
"AQUITAINE","Gironde","330780537","CMC WALLERSTEIN","33740","ARES","SIGEMS","","OUI","3266","SIGEMS",NA,"changement d'outil prévu","1440","100.0","100.0","8.4","8.4","99.9","99.9","0",NA,72
"AQUITAINE","Gironde","330781303","HIA ROBERT PICQUE","33882","VILLENAVE D ORNON CEDEX","CROSSWAY","McKesson","OUI","6840","CROSSWAY",NA,"changement d'outil prévu","1440","100.0","100.0","94.4","94.3","95.1","95.0","0",NA,72
"AQUITAINE","Gironde","330781352","CHU - HOPITAL SAINT-ANDRE ","33075","BORDEAUX CEDEX","DXCARE","(Medasys)","OUI","5090","DXUrgences",NA,"","1440","100.0","100.0","97.4","97.4","100.0","100.0","0",NA,72
"AQUITAINE","Gironde","330781360","CHU - PELLEGRIN ADULTES","33076","BORDEAUX CEDEX","DXCARE","Medasys","OUI","13290","DXUrgences",NA,"","1440","100.0","100.0","68.8","68.8","100.0","100.0","0",NA,72
"AQUITAINE","Gironde","330781360","CHU - PELLEGRIN PEDIATRIE","33076","BORDEAUX CEDEX","DXCARE","Medasys","OUI","10137","DXUrgences",NA,"","1440","100.0","100.0","98.9","98.9","100.0","100.0","0",NA,72
"AQUITAINE","Gironde","330783648","CHU - HOPITAL HAUT-LEVEQUE","33604","PESSAC CEDEX","DXCARE","Medasys","OUI","1258","DxCare",NA,"","1440","100.0","100.0","35.0","35.0","100.0","100.0","0",NA,72
"AQUITAINE","Landes","400000105","CH DAX","40107","DAX CEDEX","M-PLUS","","OUI","9970","M-Plus",NA,"Terminal Urgences sera le nouvel outil","1440","100.0","100.0","83.5","83.5","16.8","16.8","0",NA,72
"AQUITAINE","Landes","400000139","CH MONT DE MARSAN","40024","MONT DE MARSAN CEDEX","SIDSU","RESURA","OUI","7583","SIDSU","2.62","Terminal Urgences sera le nouvel outil","1440","100.0","100.0","96.7","96.7","100.0","100.0","0",NA,72
"AQUITAINE","Landes","400782769","PCL LES CHENES","40801","AIRE SUR L ADOUR CEDEX","SIGEMS","","NON",NA,"SIGEMS",NA,"Terminal Urgences sera le nouvel outil",NA,"","","","","","",NA,NA,72
"AQUITAINE","Lot et Garonne","470000027","CL ESQUIROL-SAINT-HILAIRE","47002","AGEN CEDEX","SHAREGATE","(WareSystem)","OUI","5790","SHAREGATE",NA,"","1440","100.0","100.0","0.0","0.0","100.0","100.0","0",NA,72
"AQUITAINE","Lot et Garonne","470000423","CH AGEN","47923","AGEN CEDEX 9","URQUAL ","McKesson","OUI","8312","URQUAL",NA,"Terminal Urgences est installé depuis Juin","1440","100.0","100.0","93.1","93.1","93.1","93.1","0",NA,72
"AQUITAINE","Lot et Garonne","470000431","CH VILLENEUVE/LOT","47307","VILLENEUVE SUR LOT CEDEX","AXIGATE","","OUI","4282","AXIGATE",NA,"Terminal Urgences sera le nouvel outil","1440","100.0","100.0","0.0","0.0","100.0","99.9","0",NA,72
"AQUITAINE","Lot et Garonne","470000480","CH MARMANDE","47207","MARMANDE CEDEX","SIDSU","RESURA","OUI","5959","SIDSU","2.62","Terminal Urgences sera le nouvel outil","1440","100.0","100.0","96.3","96.3","98.2","98.2","0",NA,72
"AQUITAINE","Pyrénées Atlantiques","640000162","CH COTE BASQUE - BAYONNE","64109","BAYONNE CEDEX","TRACK CARE","","OUI","11345","TRACK CARE",NA,"","1440","100.0","100.0","96.3","96.3","98.3","98.3","0",NA,72
"AQUITAINE","Pyrénées Atlantiques","640000402","CH ORTHEZ","64300","ORTHEZ","SIDSU","RESURA","OUI","3083","SIDSU","2.62","","1440","100.0","100.0","99.8","99.8","100.0","100.0","0",NA,72
"AQUITAINE","Pyrénées Atlantiques","640000410","CH OLORON","64404","OLORON STE MARIE CEDEX","DXCARE","Medasys","OUI","3475","DxCARE",NA,"","1440","100.0","100.0","0.0","0.0","99.9","99.9","0",NA,72
"AQUITAINE","Pyrénées Atlantiques","640017646","CH SAINT-PALAIS","64120","ST PALAIS","SIDSU","RESURA","OUI","2037","SIDSU","2.62","Track Care sera le nouvel outil","1440","100.0","100.0","98.5","98.5","99.7","99.7","0",NA,72
"AQUITAINE","Pyrénées Atlantiques","640780433","CL ST-ETIENNE","64115","BAYONNE CEDEX","SIDSU","RESURA","OUI","2533","SIDSU","2.62","Mediboard sera le nouvel outil","1440","100.0","100.0","88.8","88.8","99.4","99.4","0",NA,72
"AQUITAINE","Pyrénées Atlantiques","640780490","PCL AGUILERA","64201","BIARRITZ CEDEX","RESURGENCES","Berger Levrault","OUI","3032","RESURGENCES",NA,"Mediboard depuis Avril","1440","100.0","100.0","98.1","98.1","0.0","0.0","0",NA,72
"AQUITAINE","Pyrénées Atlantiques","640780748","PCL COTE BASQUE SUD","64501","ST JEAN DE LUZ CEDEX","MEDIBASE","(OSOFT)","OUI","2913","MEDIBASE",NA,"","1440","100.0","100.0","96.4","96.4","65.7","65.7","0",NA,72
"AQUITAINE","Pyrénées Atlantiques","640780938","PCL MARZET","64000","PAU","SHAREGATE","(WareSystem)","OUI","2849","SHAREGATE",NA,"","1440","100.0","100.0","0.1","0.1","100.0","100.0","0",NA,72
"BOURGOGNE","Côte d'Or","210780136","CLINIQUE MEDICO CHIRURGICALE CHENOVE","21302","CHENOVE CEDEX","RESURGENCES",NA,"OUI","2954","RESURGENCES","v4.6UO.7",NA,"1440 (1x/24h)","100","100","99","99","99","99","0","",26
"BOURGOGNE","Côte d'Or","210987558","HOPITAL LE BOCAGE CHU DIJON","21079","DIJON CEDEX","RESURGENCES",NA,"OUI","11208","RESURGENCES","4.5zmd39",NA,"1440 (1x/24h)","100","100","100","100","100","100","0","",26
"BOURGOGNE","Côte d'Or","210987657","CH BEAUNE","21203","BEAUNE CEDEX","CROSSWAY",NA,"OUI","5951","CROSSWAY","7.1.10.r2.0",NA,"1440 (1x/24h)","100","100","28","28","0","0","0","",26
"BOURGOGNE","Côte d'Or","210987665","CH INTERCOMMUNAL CHATILLON MONTBARD","21400","CHATILLON SUR SEINE","CDP2",NA,"OUI","1411","HOPITAL MANAGER","1.1410",NA,"1440 (1x/24h)","100","100","95","95","100","100","3","lié au changement de logiciel en janvier 2015",26
"BOURGOGNE","Côte d'Or","210987673","CH INTERCOMMUNAL CHATILLON MONTBARD","21500","MONTBARD","CDP2",NA,"OUI","1233","HOPITAL MANAGER","1.1410",NA,"1440 (1x/24h)","100","100","100","100","100","100","0","",26
"BOURGOGNE","Côte d'Or","210987699","CENTRE HOSPITALIER ROBERT MORLEVAT","21140","SEMUR EN AUXOIS","ATALANTE",NA,"OUI","5263","ATALANTE","",NA,"1440 (1x/24h)","100","100","0","0","0","0","0","",26
"BOURGOGNE","Nièvre","580972669","CH CLAMECY","58500","CLAMECY","Manuel",NA,"OUI","2504","ATALANTE","",NA,"1440 (1x/24h)","100","100","99","98","99","99","0","",26
"BOURGOGNE","Nièvre","580972677","CH COSNE-COURS-SUR-LOIRE","58200","COSNE COURS SUR LOIRE","URQUAL",NA,"OUI","3358","URQUAL","7.1.5.0 RC4",NA,"1440 (1x/24h)","100","100","0","0","95","95","0","",26
"BOURGOGNE","Nièvre","580972685","CH DECIZE","58302","DECIZE CEDEX","CROSSWAY",NA,"OUI","3062","CROSSWAY","7.1.10.r2.0",NA,"1440 (1x/24h)","100","100","1","1","0","0","0","",26
"BOURGOGNE","Nièvre","580972693","C.H DE L'AGGLOMERATION DE NEVERS","58033","NEVERS CEDEX","URQUAL",NA,"OUI","5667","URQUAL","",NA,"1440 (1x/24h)","100","100","0","0","100","100","18","lié au redeployement du module d'envoi des données par Maincare. Une demande de récupération a été faite. le service informatique attend le retour de l'éditeur.",26
"BOURGOGNE","Saone et Loire","710010067","CH PARAY-LE-MONIAL LES CHARMES","71600","PARAY LE MONIAL","CROSSWAY",NA,"OUI","5389","CROSSWAY","avant le 19/03/15 : 7.1.7R2.0.3
depuis le 19/03/15 : 7.1.10R1.0",NA,"1440 (1x/24h)","100","100","0","0","0","0","0","",26
"BOURGOGNE","Saone et Loire","710010786","CH AUTUN (SITE PARPAS)","71400","AUTUN","CRISTALNET-DMU",NA,"OUI","3671","DMU","3.2.14",NA,"1440 (1x/24h)","100","100","99","99","100","100","0","",26
"BOURGOGNE","Saone et Loire","710978263","CH W MOREY  CHALON-SUR-SAONE","71321","CHALON SUR SAONE CEDEX","CRISTALNET-DMU",NA,"OUI","9960","DMU","3.6.36",NA,"1440 (1x/24h)","100","100","99","99","100","100","0","",26
"BOURGOGNE","Saone et Loire","710978289","CH LES CHANAUX MACON","71000","MACON","URQUAL",NA,"OUI","9891","URQUAL","7.1.4",NA,"1440 (1x/24h)","100","100","0","0","97","97","0","",26
"BOURGOGNE","Saone et Loire","710978313","SIH CH MONTCEAU-LES-MINES","71230","ST VALLIER","CRISTALNET-DMU",NA,"OUI","5079","DMU","3.4.30",NA,"1440 (1x/24h)","100","100","96","96","100","100","0","",26
"BOURGOGNE","Saone et Loire","710978347","HOTEL DIEU DU CREUSOT","71206","LE CREUSOT CEDEX","CRISTALNET-DMU",NA,"OUI","8512","DMU","3.4.30",NA,"1440 (1x/24h)","100","100","71","71","100","100","0","",26
"BOURGOGNE","Yonne","890002389","POLYCLINIQUE  STE MARGUERITE AUXERRE","89003","AUXERRE CEDEX","DxCare",NA,"OUI","2941","DXCARE","7.5.16",NA,"1440 (1x/24h)","100","100","83","83","100","100","0","",26
"BOURGOGNE","Yonne","890975527","CH AUXERRE Adulte","89011","AUXERRE CEDEX","CRISTALNET-DMU",NA,"OUI","ad. 9436 / ped.4004","DMU","3.5.26",NA,"1440 (1x/24h)","100","100","95.5 (ad.)/ 100.0 (ped)","95.5 (ad.)/ 100.0 (ped)","99.1 (ad) / 100 (ped)","99.1 (ad) / 100 (ped)","0","",26
"BOURGOGNE","Yonne","890975527","CH AUXERRE Pediatrique","89011","AUXERRE CEDEX","CRISTALNET-DMU",NA,"OUI","2541","AGFA EXAGON","",NA,"1440 (1x/24h)","100","100","12","12","100","100","0","",26
"BOURGOGNE","Yonne","890975535","CH AVALLON","89206","AVALLON CEDEX","AGFA EXAGON",NA,"OUI","4482","TU","",NA,"1440 (1x/24h)","100","100","98","98","100","100","0","",26
"BOURGOGNE","Yonne","890975543","CH JOIGNY","89306","JOIGNY CEDEX","TU-ORUPACA",NA,"OUI","7997","RESURGENCES","avant le 16/02/15 : 4.6ZIP.16
depuis le 16/02/15 : 4.6ZLT.17",NA,"1440 (1x/24h)","100","100","99","99","100","100","0","",26
"BOURGOGNE","Yonne","890975550","CH SENS","89108","SENS CEDEX","RESURGENCES",NA,"OUI","2440","DMU","1.0.3.3.1",NA,"1440 (1x/24h)","100","100","95","95","98","98","0","",26
"BOURGOGNE","Yonne","890975568","CH TONNERRE","89700","TONNERRE","CRISTALNET-DMU",NA,"OUI","2440","DMU","1.0.3.3.1",NA,"1440 (1x/24h)","100","100","95","95","98","98","0","",26
"BRETAGNE","Finistère","290004324","CHU BREST -Site Cavale Blanche","29609
29835","BREST CEDEX
CARHAIX-PLOUGUER CEDEX","URQUAL","Maincare (ex-McKesson)","OUI","20238","URQUAL"," version 7.0.3","","1 fois/jour","100.0","99.98","64.2","64.2","98.1","98.1","0","",53
"BRETAGNE","Finistère","290000058
","CHU BREST - Site Morvan","29609
29835","BREST CEDEX
CARHAIX-PLOUGUER CEDEX","URQUAL","Maincare (ex-McKesson)","OUI","20238","URQUAL"," version 7.0.3","","1 fois/jour","100.0","100.00","98.4","98.4","99.7","99.7","0","",53
"BRETAGNE","Finistère","290000256","CHU BREST- Site Carhaix","29609
29835","BREST CEDEX
CARHAIX-PLOUGUER CEDEX","URQUAL","Maincare (ex-McKesson)","OUI","20238","URQUAL"," version 7.0.3","","1 fois/jour","100.0","99.97","72.0","72.0","73.9","73.9","0","",53
"BRETAGNE","Finistère","290 000 025","CH DE QUIMPER-site Quimper","29107","QUIMPER CEDEX
CONCARNEAU","URQUAL (Mediqual)","Maincare (ex-McKesson)","OUI","12276","URQUAL (Mediqual)","version 7.1.6.0.2","","1 fois/jour","100.0","100.0","97.0","96.9","98.2","98.2","0","",53
"BRETAGNE","Finistère","290 000 066","CHL DE QUIMPER-Site de Concarneau","29900","QUIMPER CEDEX
CONCARNEAU","URQUAL (Mediqual)","Maincare (ex-McKesson)","OUI","12276","URQUAL (Mediqual)","version 7.1.6.0.2","","1 fois/jour","100.0","100.0","99.1","99.1","99.6","99.6","0","",53
"BRETAGNE","Finistère","290000181","CENTRE HOSPITALIER DE DOUARNENEZ","29100","DOUARNENEZ","SILLAGE URGENCES","SIB (Santé Informatique de Bretagne)","OUI","2983","SILLAGE URGENCES","version 6.1.4  le 17/03/2015
version 6.1.5 le 06/05/2015
version 6.1.5.2 le 02/06/2015","","1 fois/jour","100.0","100.0","95.0","95.0","98.8","98.8","0","",53
"BRETAGNE","Finistère","290000728","HOPITAL D'INSTRUCTION DES ARMEES","29240","BREST CEDEX 09","URQUAL","Maincare (ex-McKesson)","OUI","4794","URQUAL","V7","","1 fois/jour","100.0","99.8","98.5","98.5","96.9","96.9","0","",53
"BRETAGNE","Finistère","290000173","CENTRE HOSPITALIER DE LANDERNEAU","29207","LANDERNEAU CEDEX","HEXAGONE","AGFA","NON","3922","SILLAGE URGENCES","Version 8.3.9","NE","1 fois/jour","100.0","100.0","0.0","0.0","99.9","99.9","0","Amélioration du remplissage au 2ème trimestre 2015 et se poursuivra lors de l'installation de Sillage Urgences
Transmission des RPU sur la plateforme de test",53
"BRETAGNE","Finistère","290000033","CENTRE HOSPITALIER DE MORLAIX","29672","MORLAIX CEDEX","MEDIS Urgences","BERGER-LEVRAULT","OUI","7975","SILLAGE URGENCES (octobre 2015)","V5.2014.1012","","1 fois/jour","100.0","100.0","18.3","18.3","91.8","91.8","0","",53
"BRETAGNE","Finistère","290019777","POLYCLINIQUE DE KERAUDREN","29220","BREST","RESURGENCES","BERGER-LEVRAULT","OUI","8204","RESURGENCES"," v4.6QK.16","","1 fois/jour","100.0","100.0","93.1","93.1","99.0","99.0","0","",53
"BRETAGNE","Finistère","290000785","HOTEL-DIEU DE PONT-L'ABBE","29120","PONT-L'ABBE","OSOFT","MEDIBASE","OUI","3404","OSOFT","version 6.64.048 d'Osoft
mise à jour de la version d'Osoft le 8 janvier 2015 et le 21 mai 2015","","1 fois/jour","100.0","100.0","98.6","98.6","100.0","100.0","0","",53
"BRETAGNE","Finistère","290000934","CENTRE HOSPITALIER DE QUIMPERLE","29300","QUIMPERLE CEDEX","","","NON","3281","SILLAGE URGENCES","V6.1.2","NE","1 fois/jour","100.0","100.0","88.2","88.2","68.5","68.5","0","Transmission des RPU sur la plateforme de test",53
"BRETAGNE","Morbihan","560000135","CENTRE HOSPITALIER DE BRETAGNE SUD 
(SAU adultes)","56322","LORIENT CEDEX","URQUAL","Maincare (ex-McKesson)","OUI","13291","URQUAL","V 5.41.15","","1 fois/jour","100.0","100.0","86.0","0.0","98.9","98.9","0","",53
"BRETAGNE","Morbihan","560009268","CENTRE HOSPITALIER DE BRETAGNE SUD 
(SAU pédiatrie)","56322","LORIENT CEDEX","URQUAL","Maincare (ex-McKesson)","OUI","13291","URQUAL","V 5.41.15","","1 fois/jour","100.0","100.0","100.0","100.0","100.0","100.0","0","",53
"BRETAGNE","Morbihan","560000143","CENTRE HOSPITALIER DU CENTRE BRETAGNE","56306","PONTIVY CEDEX","URQUAL","Maincare (ex-McKesson)","OUI","6754","URQUAL","V 7.0.5","","1 fois/jour","100.0","100.0","15.7","15.7","97.3","97.3","0","",53
"BRETAGNE","Morbihan","560000127
560000200","CENTRE HOSPITALIER DE BRETAGNE ATLANTIQUE
(site Chubert et Auray)","56017
56400","VANNES CEDEX
AURAY","URQUAL","Maincare (ex-McKesson)","OUI","14547","URQUAL","version 7.1.2.(1er trimestre 2015)
version 7.1.8 (il y a 15 jours)
version 8.2.0 (fin juin)","","1 fois/jour","100.0","100.0","37.0","37.0","100.0","100.0","3","Absence de transmission de RPU le dernier jour de chaque mois (problème réglé en principe fin juin 2015)",53
"BRETAGNE","Morbihan","560000192","CENTRE HOSPITALIER DE PLOERMEL","56800","PLOERMEL","SILLAGE DMU","SIB (Santé Informatique de Bretagne)","OUI","4768","SILLAGE DMU","version 6.0.5 au 01/01/2015 
version 6.1.4 le 17/03/2015
version 6.1.5.2 le 20/05/2015","","1 fois/jour","100.0","100.0","10.5","10.5","98.8","98.8","0","",53
"BRETAGNE","Ille-et-Vilaine","350005146","HOPITAL PRIVE SEVIGNE","35576","CESSON-SEVIGNE CEDEX","RESURGENCES","BERGER-LEVRAULT","OUI","5128","RESURGENCES","version 4.5.zmn.9c","","1 fois/jour","100.0","100.0","93.8","93.8","99.8","99.8","0","",53
"BRETAGNE","Ille-et-Vilaine","350000154","CENTRE HOSPITALIER DE FOUGERES","35306","FOUGERES CEDEX","SILLAGE DMU","SIB (Santé Informatique de Bretagne)","OUI","7033","SILLAGE DMU","Version au 1er janvier 2015 = 6.1.2.2
Passage à la version 6.1.2.11 le 23/01/2015
Passage à la version 6.1.2.12 le 28/01/2015
Passage à la version 6.1.4 le 11/03/2015
Passage à la version 6.1.4.1 le 31/03/2015
Passage à la version 6.1.4.3 le 13/04/2015
Passage à la version 6.1.5 le 28/04/2015","","1 fois/jour","100.0","100.0","0.9","0.9","100.0","100.0","0","",53
"BRETAGNE","Ille-et-Vilaine","350000162","CENTRE HOSPITALIER DE REDON","35603","REDON CEDEX","SILLAGE URGENCES","SIB (Santé Informatique de Bretagne)","NON","5123","SILLAGE URGENCES","","","1 fois/jour","100.0","100.0","91.3","91.3","99.6","99.6","0","Transmission des RPU sur la plateforme de test",53
"BRETAGNE","Ille-et-Vilaine","350000741","CHU DE RENNES -Hôpital Sud-SAU pédiatrique","35033","RENNES CEDEX 9","RESURGENCES","BERGER-LEVRAULT","OUI","21229","RESURGENCES","version V44","","1 fois/jour","100.0","100.0","100.0","100.0","100.0","100.0","0","",53
"BRETAGNE","Ille-et-Vilaine","350007084","CHU DE RENNES -site de Ponchaillou-SAU adulte","35033","RENNES CEDEX 9","RESURGENCES","BERGER-LEVRAULT","OUI","21229","RESURGENCES","version V44","","1 fois/jour"," 100.0
","100.0
","100.0","99.97
","100.0","100.0","0","",53
"BRETAGNE","Ille-et-Vilaine","350000147","CENTRE HOSPITALIER DE SAINT-MALO","35400","SAINT-MALO","URQUAL","Maincare (ex-McKesson)","OUI","8989","URQUAL","V5.4009-2","","1 fois/jour","100.0","100.0","91.2","91.2","95.6","95.6","2","",53
"BRETAGNE","Ille-et-Vilaine","350000121","CENTRE HOSPITALIER PRIVE SAINT-GREGOIRE","35768","SAINT-GREGOIRE CEDEX","MEDIBOARD","OpenXtrem","NON","7080","MEDIBOARD","","","1 fois/jour","100.0","100.0","43.2","43.2","99.96","99.96","0","Transmission des RPU sur la plateforme de test",53
"BRETAGNE","Ille-et-Vilaine","350000188","CENTRE HOSPITALIER DE VITRE","35506","VITRE","SILLAGE DMU","SIB (Santé Informatique de Bretagne)","OUI","2785","SILLAGE URGENCES","6.1.5.2","NE","1 fois/jour","100.0","100.0","0.1","0.1","98.7","98.7","42","Transmission des RPU sur la plateforme de production à partir du 25/06/2015",53
