"Période : 1er trimestre 2015 soit du 
"CHAMPAGNE ARDENNES","Marne",510000185,"POLYCLINIQUE DE COURLANCY",51057,"REIMS CEDEX","Dopa urgences",,"OUI",3833,"Dopa urgences",,,"1440 (1x/24h)","100,0%","100,0%","0,0%","0,0%","80,4%","80,4%",0,,"99,9%","99,5%","100,0%","100,0%","31,4%","0,1%","30,6%","4,9%","0,1%","94,1%","98,0%","30,3%","0,3%","12,1%"
"CHAMPAGNE ARDENNES","Marne",510000193,"POLYCLINIQUE SAINT ANDRE",51052,"REIMS CEDEX","Dopa urgences",,"OUI",3776,"Dopa urgences",,,"1440 (1x/24h)","100,0%","100,0%","0,0%","0,0%","69,1%","69,1%",0,,"99,9%","100,0%","100,0%","100,0%","72,2%","0,3%","69,3%","1,1%","0,0%","50,4%","98,0%","11,6%","0,3%","4,3%"
"CHAMPAGNE ARDENNES","Marne",510000235,"CENTRE HOSPITALIER D'EPERNAY",51205,"EPERNAY CEDEX","NAFAMA",,"OUI",5156,"NAFAMA",,,"1440 (1x/24h)","99,8%","99,8%","99,8%","98,5%","99,8%","99,8%",0,,"99,7%","99,8%","100,0%","100,0%","99,9%","99,9%","99,9%","99,9%","99,9%","99,7%","99,8%","99,9%","23,8%","99,2%"
"CHAMPAGNE ARDENNES","Marne",510000250,"CENTRE HOSPITALIER VITRY LE FRANCOIS",51308,"VITRY LE FRANCOIS CEDEX","Polymedis",,"OUI",3586,"Polymedis",,,"1440 (1x/24h)","100,0%","100,0%","99,7%","99,7%","99,8%","99,8%",0,,"99,6%","99,7%","100,0%","100,0%","100,0%","99,2%","100,0%","100,0%","96,0%","99,3%","99,8%","100,0%","23,1%","100,0%"
"CHAMPAGNE ARDENNES","Marne",510002470,"AMERICAN MEMORIAL HOSPITAL CHU REIMS",51092,"REIMS CEDEX","Urqual",,"OUI",6759,"Urqual",,,"1440 (1x/24h)","100,0%","100,0%","75,5%","75,5%","95,9%","95,9%",0,,"100,0%","100,0%","100,0%","100,0%","96,8%","95,1%","97,2%","97,2%","99,1%","97,0%","100,0%","99,6%","8,2%","99,4%"
"CHAMPAGNE ARDENNES","Marne",510004302,"HOPITAL MAISON BLANCHE CHU REIMS",51092,"REIMS CEDEX","Urqual",,"OUI",11824,"Urqual",,,"1440 (1x/24h)","100,0%","100,0%","9,1%","9,1%","79,2%","79,2%",0,,"100,0%","100,0%","100,0%","100,0%","0,0%","0,0%","98,4%","98,4%","48,5%","99,7%","99,5%","97,5%","18,3%","91,5%"
"CHAMPAGNE ARDENNES","Haute Marne",520000027,"CENTRE HOSPITALIER DE CHAUMONT",52014,"CHAUMONT CEDEX","CRISTALNET-DMU",,"OUI",5060,"CRISTALNET-DMU",,,"1440 (1x/24h)","100,0%","100,0%","99,3%","99,3%","100,0%","100,0%",0,,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","94,6%","94,6%","100,0%","100,0%","100,0%","97,6%","30,6%","97,2%"
"CHAMPAGNE ARDENNES","Haute Marne",520000043,"CENTRE HOSPITALIER DE LANGRES",52200,"LANGRES","CRISTALNET-DMU",,"OUI",3074,"CRISTALNET-DMU",,,"1440 (1x/24h)","100,0%","100,0%","98,4%","98,4%","99,7%","99,7%",0,,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","67,1%","67,1%","100,0%","99,8%","99,7%","99,7%","29,4%","96,1%"
"CHAMPAGNE ARDENNES","Haute Marne",520000068,"CH GENEVIEVE DE GAULLE ANTHONIOZ",52115,"ST DIZIER CEDEX","DXCARE",,"OUI",6667,"DXCARE",,,"1440 (1x/24h)","100,0%","100,0%","65,8%","65,8%","99,9%","99,9%",0,,"100,0%","100,0%","100,0%","100,0%","100,0%","0,4%","99,6%","27,7%","96,9%","81,3%","99,9%","100,0%","23,4%","96,3%"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nombre de RPU avec mode de sortie =6 ou 7 pour lesquels la destination est remplie
/
Nombre total de RPU avec mode de sortie = 6 ou 7 transmis","Nombre de RPU avec mode de sortie =6 ou 7 ou 8 pour lesquels la destination est remplie
/
Nombre total de RPU avec mode de sortie = 6 ou 7 transmis",
