"Période : 1er trimestre 2015 soit du 
"BRETAGNE","Finistère",290000173,"CENTRE HOSPITALIER DE LANDERNEAU",29207,"LANDERNEAU CEDEX","HEXAGONE","AGFA","NON",3922,"SILLAGE URGENCES","Version 8.3.9","NE","1 fois/jour","100,0%","100,0%","0,0%","0,0%","99,9%","99,9%",0,"Amélioration du remplissage au 2ème trimestre 2015 et se poursuivra lors de l'installation de Sillage Urgences
Transmission des RPU sur la plateforme de test","100,00","100,00","100,00","100,00","100,00","100,00","99,64","100,00","98,42","97,15","96,48","100,00","100,00",,"100,00","96,14","100,00"
"BRETAGNE","Finistère",290000033,"CENTRE HOSPITALIER DE MORLAIX",29672,"MORLAIX CEDEX","MEDIS Urgences","BERGER-LEVRAULT","OUI",7975,"SILLAGE URGENCES (octobre 2015)","V5.2014.1012",,"1 fois/jour","100,0%","100,0%","18,3%","18,3%","91,8%","91,8%",0,,"100,00","99,98","100,00","100,00","100,00","0,00","93,36","0,13","88,24","86,53","84,58","100,00","90,28",,"100,00","45,84","84,48"
"BRETAGNE","Finistère",290019777,"POLYCLINIQUE DE KERAUDREN",29220,"BREST","RESURGENCES","BERGER-LEVRAULT","OUI",8204,"RESURGENCES"," v4.6QK.16",,"1 fois/jour","100,0%","100,0%","93,1%","93,1%","99,0%","99,0%",0,,"100,00","100,00","100,00","100,00","100,00","0,68","97,95","97,95","96,65","90,65","84,29","100,00","99,61",,"100,00","90,51","83,99"
"BRETAGNE","Finistère",290000785,"HOTEL-DIEU DE PONT-L'ABBE",29120,"PONT-L'ABBE","OSOFT","MEDIBASE","OUI",3404,"OSOFT","version 6.64.048 d'Osoft
mise à jour de la version d'Osoft le 8 janvier 2015 et le 21 mai 2015",,"1 fois/jour","100,0%","100,0%","98,6%","98,6%","100,0%","100,0%",0,,"100,00","100,00","100,00","100,00","100,00","100,00","0,00","0,00","0,00","0,00","99,80","100,00","0,00",,"100,00","0,00","15,70"
"BRETAGNE","Finistère",290000934,"CENTRE HOSPITALIER DE QUIMPERLE",29300,"QUIMPERLE CEDEX",,,"NON",3281,"SILLAGE URGENCES","V6.1.2","NE","1 fois/jour","100,0%","100,0%","88,2%","88,2%","68,5%","68,5%",0,"Transmission des RPU sur la plateforme de test","100,00","100,00","100,00","100,00","100,00","0,28","28,42","1,22","54,50","63,41","95,18","100,00","97,23",,"100,00","52,24","21,05"
"BRETAGNE","Morbihan",560000135,"CENTRE HOSPITALIER DE BRETAGNE SUD 
(SAU adultes)",56322,"LORIENT CEDEX","URQUAL","Maincare (ex-McKesson)","OUI",13291,"URQUAL","V 5.41.15",,"1 fois/jour","100,0%","100,0%","86,0%","0,0%","98,9%","98,9%",0,,"100,00","100,00","100,00","100,00","99,78","99,79","100,00","99,93","97,71","98,95","100,00","100,00","98,10",,"100,00","39,80","99,14"
"BRETAGNE","Morbihan",560009268,"CENTRE HOSPITALIER DE BRETAGNE SUD 
(SAU pédiatrie)",56322,"LORIENT CEDEX","URQUAL","Maincare (ex-McKesson)","OUI",13291,"URQUAL","V 5.41.15",,"1 fois/jour","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%",0,,"100,00","100,00","100,00","100,00","99,78","99,79","100,00","99,93","97,71","98,95","100,00","100,00","98,10",,"100,00","39,80","99,14"
"BRETAGNE","Morbihan",560000143,"CENTRE HOSPITALIER DU CENTRE BRETAGNE",56306,"PONTIVY CEDEX","URQUAL","Maincare (ex-McKesson)","OUI",6754,"URQUAL","V 7.0.5",,"1 fois/jour","100,0%","100,0%","15,7%","15,7%","97,3%","97,3%",0,,"100,00","100,00","100,00","100,00","98,11","99,24","99,30","99,30","88,55","99,35","100,00","100,00","34,78",,"100,00","7,34","80,94"
"BRETAGNE","Morbihan","560000127
560000200","CENTRE HOSPITALIER DE BRETAGNE ATLANTIQUE
(site Chubert et Auray)","56017
56400","VANNES CEDEX
AURAY","URQUAL","Maincare (ex-McKesson)","OUI",14547,"URQUAL","version 7.1.2.(1er trimestre 2015)
version 7.1.8 (il y a 15 jours)
version 8.2.0 (fin juin)",,"1 fois/jour","100,0%","100,0%","37,0%","37,0%","100,0%","100,0%",3,"Absence de transmission de RPU le dernier jour de chaque mois (problème réglé en principe fin juin 2015)","100,00","100,00","100,00","100,00","82,53","0,32","98,38","7,72","18,81","70,72","28,11","100,00","94,89",,"100,00","18,04","30,03"
"BRETAGNE","Morbihan",560000192,"CENTRE HOSPITALIER DE PLOERMEL",56800,"PLOERMEL","SILLAGE DMU","SIB (Santé Informatique de Bretagne)","OUI",4768,"SILLAGE DMU","version 6.0.5 au 01/01/2015 
version 6.1.4 le 17/03/2015
version 6.1.5.2 le 20/05/2015",,"1 fois/jour","100,0%","100,0%","10,5%","10,5%","98,8%","98,8%",0,,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"NA","NA","NA"
"BRETAGNE","Ille-et-Vilaine",350005146,"HOPITAL PRIVE SEVIGNE",35576,"CESSON-SEVIGNE CEDEX","RESURGENCES","BERGER-LEVRAULT","OUI",5128,"RESURGENCES","version 4.5.zmn.9c",,"1 fois/jour","100,0%","100,0%","93,8%","93,8%","99,8%","99,8%",0,,"100,00","100,00","100,00","100,00","82,53","0,32","98,38","7,72","18,81","70,72","28,11","100,00","94,89",,"100,00","18,04","30,03"
"BRETAGNE","Ille-et-Vilaine",350000154,"CENTRE HOSPITALIER DE FOUGERES",35306,"FOUGERES CEDEX","SILLAGE DMU","SIB (Santé Informatique de Bretagne)","OUI",7033,"SILLAGE DMU","Version au 1er janvier 2015 = 6.1.2.2
Passage à la version 6.1.2.11 le 23/01/2015
Passage à la version 6.1.2.12 le 28/01/2015
Passage à la version 6.1.4 le 11/03/2015
Passage à la version 6.1.4.1 le 31/03/2015
Passage à la version 6.1.4.3 le 13/04/2015
Passage à la version 6.1.5 le 28/04/2015",,"1 fois/jour","100,0%","100,0%","0,9%","0,9%","100,0%","100,0%",0,,"100,00","100,00","100,00","100,00","100,00","100,00","99,23","99,23","0,00","99,35","99,18","98,80","97,06",,"100,00","86,08 ?","97,41"
"BRETAGNE","Ille-et-Vilaine",350000162,"CENTRE HOSPITALIER DE REDON",35603,"REDON CEDEX","SILLAGE URGENCES","SIB (Santé Informatique de Bretagne)","NON",5123,"SILLAGE URGENCES",,,"1 fois/jour","100,0%","100,0%","91,3%","91,3%","99,6%","99,6%",0,"Transmission des RPU sur la plateforme de test","100,00","100,00","100,00","100,00","94,30","0,57","98,13","91,59","99,68","98,62","98,81","100,00","62,86",,"100,00","98,95","93,24"
"BRETAGNE","Ille-et-Vilaine",350000741,"CHU DE RENNES -Hôpital Sud-SAU pédiatrique",35033,"RENNES CEDEX 9","RESURGENCES","BERGER-LEVRAULT","OUI",21229,"RESURGENCES","version V44",,"1 fois/jour","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%",0,,"100,00","100,00","100,00","100,00","100,00","100,00","99,23","99,23","0,00","99,35","99,18","98,80","97,06",,"100,00","86,08 ?","97,41"
"BRETAGNE","Ille-et-Vilaine",350007084,"CHU DE RENNES -site de Ponchaillou-SAU adulte",35033,"RENNES CEDEX 9","RESURGENCES","BERGER-LEVRAULT","OUI",21229,"RESURGENCES","version V44",,"1 fois/jour"," 100,0%
","100,0%
","100,0%","99,97%
","100,0%","100,0%",0,,"100,00","100,00","100,00","100,00","100,00","100,00","99,23","99,23","0,00","99,35","99,18","98,80","97,06",,"100,00","86,08 ?","97,41"
"BRETAGNE","Ille-et-Vilaine",350000147,"CENTRE HOSPITALIER DE SAINT-MALO",35400,"SAINT-MALO","URQUAL","Maincare (ex-McKesson)","OUI",8989,"URQUAL","V5.4009-2",,"1 fois/jour","100,0%","100,0%","91,2%","91,2%","95,6%","95,6%",2,,"100,00","100,00","100,00","100,00","82,53","0,32","98,38","7,72","18,81","70,72","28,11","100,00","94,89",,"100,00","18,04","30,03"
"BRETAGNE","Ille-et-Vilaine",350000121,"CENTRE HOSPITALIER PRIVE SAINT-GREGOIRE",35768,"SAINT-GREGOIRE CEDEX","MEDIBOARD","OpenXtrem","NON",7080,"MEDIBOARD",,,"1 fois/jour","100,0%","100,0%","43,2%","43,2%","99,96%","99,96%",0,"Transmission des RPU sur la plateforme de test","100,00","100,00","100,00","100,00","85,35","0,24","99,83","12,61","1,53","59,11","61,85","100,00","45,87",,"100,00","55,40","78,97"
"BRETAGNE","Ille-et-Vilaine",350000188,"CENTRE HOSPITALIER DE VITRE",35506,"VITRE","SILLAGE DMU","SIB (Santé Informatique de Bretagne)","OUI",2785,"SILLAGE URGENCES","6.1.5.2","NE","1 fois/jour","100,0%","100,0%","0,1%","0,1%","98,7%","98,7%",42,"Transmission des RPU sur la plateforme de production à partir du 25/06/2015","100,00","100,00","100,00","100,00","85,35","0,24","99,83","12,61","1,53","59,11","61,85","100,00","45,87",,"100,00","55,40","78,97"
"BRETAGNE","Côtes-d'Armor",220000095,"CENTRE HOSPITALIER DE DINAN",22101,"DINAN","MEDIS Urgences","BERGER-LEVRAULT","NON",6974,"MEDIS","Début 1er trimestre 2015: 6.2014.1005
Changement version courant mars : 6.2014.1011",,"1 fois/jour","100,0%","100,0%","19,7%","19,7%","13,5%","13,5%",0,"Amélioration du remplissage à partir de mi-avril
Transmission des RPU sur la plateforme de test","100,00","100,00","100,00","100,00","85,35","0,24","99,83","12,61","1,53","59,11","61,85","100,00","45,87",,"100,00","55,40","78,97"
"BRETAGNE","Côtes-d'Armor",220000343,"CENTRE HOSPITALIER DE GUINGAMP",22205,"PABU","RESURGENCES","BERGER-LEVRAULT","OUI",4988,"RESURGENCES"," V4.6ZFW.14 du 16/10/2014 au 06/02/2015
V4.6ZLP.15 depuis le 06/02/2015",,"1 fois/jour","100,0%","100,0%","99,6%","99,6%","100,0%","100,0%",0,,"100,00","100,00","100,00","100,00","85,35","0,24","99,83","12,61","1,53","59,11","61,85","100,00","45,87",,"100,00","55,40","78,97"
"BRETAGNE","Côtes-d'Armor",220000368,"CENTRE HOSPITALIER DE LANNION",22303,"LANNION CEDEX","RESURGENCES","BERGER-LEVRAULT","OUI",5417,"RESURGENCES",,,"1 fois/jour","100,0%","100,0%","92,4%","92,4%","100,0%","100,0%",0,,"100,00","100,00","100,00","100,00","85,35","0,24","99,83","12,61","1,53","59,11","61,85","100,00","45,87",,"100,00","55,40","78,97"
"BRETAGNE","Côtes-d'Armor",220000541,"CENTRE HOSPITALIER DE PAIMPOL",22501,"PAIMPOL","ORBIS","AGFA","NON",3179,"ORBIS",,"NE (Nombreux doublons jusqu'à la mi-avril)","1 fois/jour","100,0%","100,0%","0,0%","0,0%","19,8%","19,8%",5,"Transmission des RPU sur la plateforme de test","100,00","100,00","100,00","100,00","85,35","0,24","99,83","12,61","1,53","59,11","61,85","100,00","45,87",,"100,00","55,40","78,97"
"BRETAGNE","Côtes-d'Armor",220000012,"CENTRE HOSPITALIER DE SAINT-BRIEUC",22027,"SAINT-BRIEUC CEDEX 1","RESURGENCES","BERGER-LEVRAULT","OUI",15440,"RESURGENCES",,,"1 fois/jour","100,0%","100,0%","99,5%","99,5%","100,0%","100,0%",0,,"100,00","100,00","100,00","100,00","85,35","0,24","99,83","12,61","1,53","59,11","61,85","100,00","45,87",,"100,00","55,40","78,97"
