Colonne1,Région,Dpt,FINNES,Raison.sociale,Complement.distribution,Adresse,Lieudit.BP,Code.postal,Libelle.routage,Tel,nom correspondant,mail,logiciel,RPU (oui/non)
199,AQUITAINE,Gironde,330780479,POLYCLIN BORDEAUX-NORD AQUITAINE,,15 RUE CLAUDE BOUCHER,,33377,BORDEAUX cedex,05 56 43 71 11 ,,,,OUI
200,AQUITAINE,Gironde,330780495,CLINIQUE MUTUALISTE DU MEDOC,,64 RUE ARISTIDE BRIAND,BP 71,33340,LESPARRE MEDOC,05 56 73 10 00 ,,,,NON
201,AQUITAINE,Gironde,330780529,CLINIQUE MUTUALISTE DE PESSAC,,46 AVENUE DU DR SCHWEITZER,,33608,PESSAC CEDEX,08 26 30 56 46 ,,,,NON
202,AQUITAINE,Gironde,330780537,CENTRE MEDICO-CHIRURGICAL,,14 BOULEVARD JAVAL,,33740,ARES,05 56 03 87 06,,,,OUI
203,AQUITAINE,Gironde,330781303,HIA ROBERT PICQUE,,351 ROUTE DE TOULOUSE,CS 80002,33882,VILLENAVE D ORNON CEDEX,"05 56 84 70 00 
05 56 84 74 62 ",,,,OUI
204,AQUITAINE,Gironde,330781352,HOPITAL SAINT-ANDRE - CHU,,1 RUE JEAN BURGUET,,33075,BORDEAUX CEDEX,05 56 79 56 79 ,,,,OUI
205,AQUITAINE,Gironde,330781360,GROUPE HOSPITALIER PELLEGRIN - CHU,,PLACE AMELIE RABA LEON,,33076,BORDEAUX CEDEX,05 56 79 56 79 ,,,,OUI
206,AQUITAINE,Gironde,330783648,HOPITAL HAUT-LEVEQUE - CHU,,AVENUE DE MAGELLAN,,33604,PESSAC CEDEX,"05 56 55 65 65 
05 56 79 56 79 ",,,,OUI
256,AQUITAINE,Landes,400000105,CENTRE HOSPITALIER DAX,,51 BOULEVARD YVES DU MANOIR,BP 323,40107,DAX CEDEX,"05 58 91 48 48
05 58 91 48 70 ou 20",,,,OUI
257,AQUITAINE,Landes,400000139,CENTRE HOSPITALIER DE MONT DE MARSAN,,AVENUE PIERRE DE COUBERTIN,,40024,MONT DE MARSAN CEDEX,05 58 05 10 10 ,,sau-secretariat@ch-mt-marsan.fr,SIDSU,OUI
258,AQUITAINE,Landes,400011383,ANTENNE SAISONNIERE SMUR - HOSSEGOR,,56 RUE DES ECOLES,,40150,SOORTS HOSSEGOR,05 58 91 48 48 ,,,,
259,AQUITAINE,Landes,400011391,ANTENNE SAISONNIERE SMUR - MIMIZAN,,,,40200,MIMIZAN,05 58 91 48 48 ,,,,
260,AQUITAINE,Landes,400012506,ANTENNE SAISONNIERE SMUR - BISCARROSSE,,,,40600,BISCARROSSE,,,,,
261,AQUITAINE,Landes,400012514,ANTENNE SMUR - LABOUHEYRE,,,,40210,LABOUHEYRE,,,,,
262,AQUITAINE,Landes,400012522,ANTENNE SMUR - AIRE-SUR-L'ADOUR,,,,40800,AIRE SUR L ADOUR,,,,,
263,AQUITAINE,Landes,400782769,POLYCLINIQUE LES CHENES,,RUE CHANTEMERLE,BP 69,40801,AIRE SUR L ADOUR CEDEX,05 58 06 64 64 ,,,,NON
295,AQUITAINE,Lot et Garonne,470000027,CLINIQUE ESQUIROL-SAINT-HILAIRE,,1 RUE DR ET MME DELMAS,,47002,AGEN CEDEX,05 53 47 47 47 ,,,,NON
296,AQUITAINE,Lot et Garonne,470000423,CH AGEN - HOPITAL SAINT-ESPRIT,,ROUTE DE VILLENEUVE,,47923,AGEN CEDEX 9,"05 53 69 70 10
05 53 69 70 93 ",,partratj@ch-agen.fr,URQUAL ,OUI
297,AQUITAINE,Lot et Garonne,470000431,CENTRE HOSPITALIER DE VILLENEUVE,,2 BOULEVARD SAINT CYR,BP 319,47307,VILLENEUVE SUR LOT CEDEX,05 53 40 53 61 ou 60,,christine.dunet@ch-stcyr.fr,MAIL ATTENTE REPONSE,OUI
298,AQUITAINE,Lot et Garonne,470000480,CENTRE HOSPITALIER DE MARMANDE - CHIC,,76 RUE DOCTEUR COURRET,BP 311,47207,MARMANDE CEDEX,05 53 20 30 30 ou 31 03,,urgences.marmande@chicmt.fr,MAIL ATTENTE REPONSE,OUI
299,AQUITAINE,Lot et Garonne,470000522,CENTRE HOSPITALIER DE NERAC,,80 ALLEE D'ALBRET,,47600,NERAC,05 53 97 61 00 Ou 67 44,,urgences.med@ch-nerac.fr,MAIL ATTENTE REPONSE,OUI
416,AQUITAINE,Pyrénées Atlantiques,640000162,C.H.I.C. COTE BASQUE - BAYONNE,,13 AVENUE DE L'INTERNE JACQUES LOEB,BP 8,64109,BAYONNE CEDEX,05 59 44 35 35 ,,yakakpo@ch-cotebasque.fr,MAIL ATTENTE REPONSE,OUI
417,AQUITAINE,Pyrénées Atlantiques,640000402,CENTRE HOSPITALIER D'ORTHEZ,,RUE DU MOULIN,BP 118,64300,ORTHEZ,05 59 69 70 70 ou 72 72 ,,eric.jomin@ch-orthez.fr,SIDSU,OUI
418,AQUITAINE,Pyrénées Atlantiques,640000410,CENTRE HOSPITALIER OLORON,,AVENUE DR FLEMING,BP 160,64404,OLORON STE MARIE CEDEX,05 59 88 30 30 ou 00,,catherine.persillon@ch-oloron.fr,MAIL ATTENTE REPONSE,OUI
419,AQUITAINE,Pyrénées Atlantiques,640000600,CENTRE HOSPITALIER DE PAU,,4 BOULEVARD HAUTERIVE,BP 1156,64046,PAU CEDEX,05 59 92 47 01 ,,,,NON
420,AQUITAINE,Pyrénées Atlantiques,640017646,CENTRE HOSPITALIER DE SAINT-PALAIS,POLYCLINIQUE SOKORRI,AVENUE FREDERIC DE SAINT-JAYME,,64120,ST PALAIS,08 26 39 87 88,,polyclinique@sokorri.com,SIDSU,OUI
421,AQUITAINE,Pyrénées Atlantiques,640780433,CAPIO CLINIQUE ST-ETIENNE-PAYS BASQUE,,RUE JULES BALASQUE,,64115,BAYONNE CEDEX,05 59 50 33 33 ,,,,OUI
422,AQUITAINE,Pyrénées Atlantiques,640780490,CAPIO CLINIQUE AGUILERA,,21 RUE DE L'ESTAGNAS,CS 60179,64201,BIARRITZ CEDEX,08 25 13 50 64 ou 46 00 ,,,,OUI
423,AQUITAINE,Pyrénées Atlantiques,640780748,POLYCLINIQUE COTE BASQUE SUD,,7 RUE LEONCE GOYETCHE,,64501,ST JEAN DE LUZ CEDEX,05 59 51 63 63 ou 68,,,,OUI
424,AQUITAINE,Pyrénées Atlantiques,640780938,POLYCLINIQUE MARZET,,40 BOULEVARD ALSACE LORRAINE,,64000,PAU,05 59 92 72 72 ,,,,NON
14,AUVERGNE,Allier,30000061,CENTRE HOSPITALIER MOULINS YZEURE,,10 AVENUE GAL DE GAULLE,BP 609,3006,MOULINS CEDEX,04 70 35 77 77 ou 11 ,,"k.caille-douet@ch-moulins-yzeure.fr
g.hernandez@ch-moulins-yzeure.fr",MAIL ATTENTE REPONSE,OUI
15,AUVERGNE,Allier,30000079,CENTRE HOSPITALIER DE MONTLUCON,,18 AVENUE DU 8 MAI 1945,,3109,MONTLUCON CEDEX,04 70 02 30 30 ou 27,,sec.sau@ch-montlucon.fr,DPU,OUI - (ORBIS)
16,AUVERGNE,Allier,30000087,CH JACQUES LACARIN VICHY,,BOULEVARD DENIERE,BP 2757,3201,VICHY CEDEX,04 70 97 33 33 ou 07,,"christine.tomanmuller@ch-vichy.fr 
didier.storme@ch-vichy.fr",ORBIS,OUI partiellement
90,AUVERGNE,Cantal,150000032,CENTRE HOSPITALIER DE SAINT FLOUR,,AVENUE DOCTEUR MALLET,BP 49,15102,ST FLOUR CEDEX,04 71 60 64 64 ou 63 80,,"cdegoul@ch-stflour.fr
aloyer@ch-stflour.fr",MAIL ATTENTE REPONSE,OUI
91,AUVERGNE,Cantal,150000040,CENTRE HOSPITALIER HENRI MONDOR,,50 AVENUE DE LA REPUBLIQUE,BP 229,15002,AURILLAC CEDEX,04 71 46 56 56 ou 82 41,,sau@ch-aurillac.fr,"matrix.
Sillage urgence à partir du 16 juin",OUI
92,AUVERGNE,Cantal,150000164,CENTRE HOSPITALIER DE MAURIAC,,AVENUE FERNAND TALLANDIER,,15200,MAURIAC,04 71 68 00 40 ou 67 48 33,,secretariat.urgences@ch-mauriac.fr,MAIL ATTENTE REPONSE,OUI
278,AUVERGNE,Haute Loire,430000117,CENTRE HOSPITALIER LE PUY - EMILE ROUX,,12 BOULEVARD DU DR CHANTEMESSE,BP 20352,43012,LE PUY EN VELAY CEDEX,04 71 04 32 10 OU 38 85 ,,gsoliveau@yahoo.fr,MAIL ATTENTE REPONSE,OUI
279,AUVERGNE,Haute Loire,430000190,CTRE HOSPITALIER DE SECTEUR DE BRIOUDE,,2 RUE MICHEL DE L HOSPITAL,,43100,BRIOUDE,04 71 50 99 99 ou 92 03,,urgences@ch-brioude.fr,MAIL ATTENTE REPONSE,OUI
280,AUVERGNE,Loire Atlantique,440000016,CENTRE HOSPITALIER DE SAINT- NAZAIRE,CITE SANITAIRE GEORGES CHARPAK,11 BOULEVARD GEORGES CHARPAK,BP 414,44606,ST NAZAIRE CEDEX,02 72 27 80 00 ou 70,,secretariat.urgence@ch-saintnaziare.fr,MAIL ATTENTE REPONSE,
281,AUVERGNE,Loire Atlantique,440000271,CHU DE NANTES :SITE HOTEL-DIEU- HME,,1 PLACE ALEXIS RICORDEAU,,44093,NANTES CEDEX 1,02 40 08 73 23 ou 20,,"gilles.potel@chu-nantes.fr  
bernadette.loué@chu-nantes.fr",MAIL ATTENTE REPONSE,
282,AUVERGNE,Loire Atlantique,440000396,CENTRE HOSPITALIER ANCENIS,,160 RUE DU VERGER,BP 229,44156,ANCENIS CEDEX,02 40 09 44 00 ou 05,,"mohamed.kadi@ch-ancenis.fr 
sandra.melocco@ch-ancenis.fr",MAIL ATTENTE REPONSE,
283,AUVERGNE,Loire Atlantique,440000503,CENTRE HOSPITALIER CHATEAUBRIANT,,9 RUE DE VERDUN,BP 229,44146,CHATEAUBRIANT CEDEX,02 40 55 88 00 ou 01,,urgences.accueil@ch-chateaubriant.fr,URQUAL,OUI en juillet
284,AUVERGNE,Loire Atlantique,440041580,NOUVELLES CLINIQUES NANTAISES,SITE DU CONFLUENT,4 RUE ERIC TABARLY,,44277,NANTES CEDEX 2,02 28 25 50 00  ou 15,,,,
409,AUVERGNE,Puy de Dôme,630000404,CHU G. MONTPIED,,58 RUE MONTALEMBERT,,63003,CLERMONT FERRAND CEDEX 1,04 73 75 07 50 ou 15 50,,j.schmidt@chu-clermontferrand.fr,MAIL ATTENTE REPONSE,OUI
410,AUVERGNE,Puy de Dôme,630000412,CENTRE HOSPITALIER D'AMBERT,,14 AVENUE GEORGES CLEMENCEAU,,63600,AMBERT,04 73 82 73 82 ou 92,,secretariat@ch-ambert.fr,MAIL ATTENTE REPONSE,OUI
411,AUVERGNE,Puy de Dôme,630000420,CENTRE HOSPITALIER ISSOIRE PAUL ARDIER,,13 RUE DU DR SAUVAT,,63503,ISSOIRE CEDEX,04 73 89 72 72 ,,,,OUI
412,AUVERGNE,Puy de Dôme,630000438,CENTRE HOSPITALIER DE RIOM,,79 BOULEVARD ETIENNE CLEMENTEL,BP 167,63200,RIOM,04 73 67 80 00 ou 61,,jl.marquet@ch-riom.fr,MAIL ATTENTE REPONSE,OUI
413,AUVERGNE,Puy de Dôme,630000446,CENTRE HOSPITALIER DE THIERS,,ROUTE DE FAU,BP 89,63307,THIERS CEDEX,04 73 51 10 00 ,,,,OUI
414,AUVERGNE,Puy de Dôme,630780211,POLE SANTE REPUBLIQUE,,105 AVENUE DE LA REPUBLIQUE,,63050,CLERMONT FERRAND CEDEX 2,08 26 30 44 99 ,,,,OUI
415,AUVERGNE,Puy de Dôme,630781268,CHU ESTAING,,1 PLACE LUCIE AUBRAC,,63003,CLERMONT FERRAND CEDEX 1,04 73 75 07 50 ou 51 (pédiatrie),,alabbe@chu-clermontferrand.fr,MAIL ATTENTE REPONSE,OUI
79,BASSE NORMANDIE,Calvados,140000027,CENTRE HOSPITALIER DE LISIEUX,,4 RUE ROGER AINI,BP 97223,14107,LISIEUX CEDEX,02 31 61 31 31 ou 30 09,,sec.urgences@ch-lisieux.fr,MAIL ATTENTE REPONSE,OUI
80,BASSE NORMANDIE,Calvados,140000076,CENTRE HOSPITALIER D'AUNAY SUR ODON,,5 RUE DE L'HOPITAL,,14260,AUNAY SUR ODON,02 31 71 76 76 OU 22,,,,OUI
81,BASSE NORMANDIE,Calvados,140000209,CHU COTE DE NACRE - CAEN,,AVENUE COTE DE NACRE,,14033,CAEN CEDEX 9,02 31 06 31 06 ,,,,OUI
82,BASSE NORMANDIE,Calvados,140000233,CENTRE HOSPITALIER DE FALAISE,,BOULEVARD DES BERCAGNES,,14700,FALAISE,02 31 40 40 40 ,,,,OUI
83,BASSE NORMANDIE,Calvados,140000258,POLYCLINIQUE DE DEAUVILLE,,28 AVENUE FLORIAN DE KERGORLAY,,14800,DEAUVILLE,02 31 14 33 33 ,,,,
84,BASSE NORMANDIE,Calvados,140000373,CENTRE HOSPITALIER DE VIRE,,4 RUE EMILE DESVAUX,BP 80156,14504,VIRE CEDEX,02 31 67 47 47 OU 22,,,,
85,BASSE NORMANDIE,Calvados,140002452,CLINIQUE DE LA MISERICORDE - CAEN,,15 RUE DES FOSSES SAINT JULIEN,BP 100,14000,CAEN,02 31 38 50 50 ou 51 60 ,,,,OUI
86,BASSE NORMANDIE,Calvados,140016759,POLYCLINIQUE DU PARC - CAEN,,20 AVENUE GEORGES GUYNEMER,,14052,CAEN CEDEX 4,02 31 82 82 82 ou 81 32,,,,
87,BASSE NORMANDIE,Calvados,140017237,HOPITAL PRIVE ST MARTIN-CAEN,,18 RUE DES ROQUEMONTS,,14050,CAEN CEDEX 4,02 31 43 31 43 ou 33 66,,,,OUI
88,BASSE NORMANDIE,Calvados,140024886,CENTRE HOSPITALIER - BAYEUX,,13 RUE DE NESMOND,BP 142,14400,BAYEUX,02 31 51 51 51 ou 00,,sec.urgences@sih-bessin.fr,MAIL ATTENTE REPONSE,
89,BASSE NORMANDIE,Calvados,140026410,CH COTE FLEURIE - SITE DE CRICQUEBOEUF,LA BRECHE DU BOIS,ROUTE DEPARTEMENTALE 62,,14601 14113,HONFLEUR CRICQUEBOEUF,02 31 89 89 89 ou 02 31 89 88 15,,,,
305,BASSE NORMANDIE,Manche,500000021,CH D'AVRANCHES-GRANVILLE,,59 RUE DE LA LIBERTE,BP 338,50303,AVRANCHES CEDEX,02 33 89 40 00 ,,,RESURGENCE,OUI
306,BASSE NORMANDIE,Manche,500000187,CENTRE HOSPITALIER PUBLIC DU COTENTIN,,46 RUE DU VAL DE SAIRE,BP 208,50102,CHERBOURG OCTEVILLE CEDEX,02 33 20 70 00 ,,,RESURGENCE,OUI
307,BASSE NORMANDIE,Manche,500000260,CH D'AVRANCHES-GRANVILLE,,849 RUE DES MENNERIES,BP 629,50406,GRANVILLE CEDEX,02 33 91 50 00 ,,,,OUI
308,BASSE NORMANDIE,Manche,500000427,CH DE SAINT HILAIRE DU HARCOUET,,PLACE DE BRETAGNE,,50600,ST HILAIRE DU HARCOUET,02 33 79 44 44 ,,,AXIGATE,NON
309,BASSE NORMANDIE,Manche,500000450,CH MEMORIAL - SAINT-LO,,715 RUE DUNANT,,50009,ST LO CEDEX,02 33 06 33 33 ou 30 09,,urgences@ch-stlo.fr,MAIL ATTENTE REPONSE,OUI
310,BASSE NORMANDIE,Manche,500000468,CENTRE HOSPITALIER PUBLIC DU COTENTIN,,1 AVENUE DU 8 MAI 1945,BP 316,50700,VALOGNES,02 33 95 70 00 ,,f.abbas@ch-cotentin.fr,MAIL ATTENTE REPONSE,OUI
311,BASSE NORMANDIE,Manche,500000591,CENTRE HOSPITALIER DE COUTANCES,,RUE DE LA GARE,,50208,COUTANCES CEDEX,02 33 47 40 00 ou 25,,ahmed.smidi@ch-coutances.fr,MAIL ATTENTE REPONSE,OUI
391,BASSE NORMANDIE,Orne,610000044,CENTRE HOSPITALIER DE L'AIGLE,,10 RUE DU DOCTEUR FRINAULT,BP 189,61305,L AIGLE CEDEX,02 33 24 95 95 OU 96 95,,abderrahman.benmouffok@ch-laigle.fr,SILLAGE,OUI
392,BASSE NORMANDIE,Orne,610000051,C.H.I.C ALENCON - MAMERS,,25 RUE DE FRESNAY,BP 354,61014,ALENCON CEDEX,02 33 32 30 30 ,,,CORA,OUI
393,BASSE NORMANDIE,Orne,610000069,CENTRE HOSPITALIER D'ARGENTAN,,47 RUE ARISTIDE BRIAND,BP 209,61202,ARGENTAN CEDEX,02 33 12 33 12 ou 34,,urgences.sec@ch-argentan.fr,MAIL ATTENTE REPONSE,OUI
394,BASSE NORMANDIE,Orne,610000077,CH MARGUERITE DE LORRAINE-MORTAGNE,,9 RUE DE LONGNY,BP 33,61400,MORTAGNE AU PERCHE,02 33 83 40 40 ou 42 31,,urgences.sec@ch-mortagne.fr,ATALANTE Pmsi,OUI
395,BASSE NORMANDIE,Orne,610000119,CH 'JACQUES MONOD' - FLERS,,RUE EUGENE GARNIER,BP 219,61104,FLERS CEDEX,02 33 62 62 00 ,,,CrystalNet,OUI
396,BASSE NORMANDIE,Orne,610780108,CH INTERCOMMUNAL DES ANDAINES,,RUE DE LA GARE,,61700,DOMFRONT,02 33 30 57 57 ,,,,
397,BASSE NORMANDIE,Orne,610780116,CH INTERCOMMUNAL DES ANDAINES,,RUE SOEUR MARIE BOITIER,BP 99,61600,LA FERTE MACE,02 33 30 50 50 ,,,Oriris (cormin),OUI
114,BOURGOGNE,Côte d'Or,210780136,CLINIQUE MEDICO CHIRURGICALE CHENOVE,,42 BOULEVARD HENRI BAZIN,,21302,CHENOVE CEDEX,03 80 58 63 00 ,,,,
115,BOURGOGNE,Côte d'Or,210781621,HOPITAL GENERAL CHU DIJON,,3 RUE DU FAUBOURG RAINES,,21033,DIJON CEDEX,03 80 29 30 31 ,,,,OUI
116,BOURGOGNE,Côte d'Or,210987558,HOPITAL LE BOCAGE CHU DIJON,,1 BOULEVARD JEANNE D'ARC,BP 77908,21079,DIJON CEDEX,03 80 29 30 31 ,,,,
117,BOURGOGNE,Côte d'Or,210987657,CH BEAUNE,,AVENUE GUIGONE DE SALINS,BP 104,21203,BEAUNE CEDEX,03 80 24 44 44 ,,,,
118,BOURGOGNE,Côte d'Or,210987665,CH INTERCOMMUNAL CHATILLON MONTBARD,ZAC DU BELVEDERE,2 RUE BARON CLAUDE PETIET,,21400,CHATILLON SUR SEINE,03 80 81 73 00 ,,,,
119,BOURGOGNE,Côte d'Or,210987673,CH INTERCOMMUNAL CHATILLON MONTBARD,,27 RUE AUGUSTE CARRE,,21500,MONTBARD,03 80 92 63 00 ,,,,
120,BOURGOGNE,Côte d'Or,210987699,CENTRE HOSPITALIER ROBERT MORLEVAT,,3 AVENUE PASTEUR,BP 28,21140,SEMUR EN AUXOIS,03 80 89 64 64 ,,,,
354,BOURGOGNE,Nièvre,580972669,CH CLAMECY,,14 RUE BEAUGY,,58500,CLAMECY,03 86 27 60 00 ,,,,
355,BOURGOGNE,Nièvre,580972677,CH COSNE-COURS-SUR-LOIRE,,96 RUE MARÃ‰CHAL  LECLERC,,58200,COSNE COURS SUR LOIRE,03 86 26 54 54 ,,,,
356,BOURGOGNE,Nièvre,580972685,CH DECIZE,,74 ROUTE DE MOULINS,,58302,DECIZE CEDEX,03 86 77 78 79 ,,,,OUI
357,BOURGOGNE,Nièvre,580972693,C.H DE L'AGGLOMÃ‰RATION DE NEVERS,,1 BOULEVARD DE L'HOPITAL,BP 649,58033,NEVERS CEDEX,03 86 93 70 00 ,,,,
477,BOURGOGNE,Saone et Loire,710010067,CH PARAY-LE-MONIAL LES CHARMES,,BOULEVARD DES CHARMES,BP 147,71600,PARAY LE MONIAL,03 85 81 80 00 ,,,,
478,BOURGOGNE,Saone et Loire,710010786,CH AUTUN (SITE PARPAS),,7 RUE DE    PARPAS,,71400,AUTUN,03 85 86 84 84 ,,,,OUI
479,BOURGOGNE,Saone et Loire,710978263,CH W MOREY  CHALON-SUR-SAONE,,4 RUE CAPITAINE DRILLIEN,CS 80120,71321,CHALON SUR SAONE CEDEX,03 85 44 66 88 ,,,,OUI
480,BOURGOGNE,Saone et Loire,710978289,CH LES CHANAUX MACON,,BOULEVARD LOUIS ESCANDE,,71000,MACON,03 85 20 30 40 ,,,,
481,BOURGOGNE,Saone et Loire,710978313,SIH CH MONTCEAU-LES-MINES,,,BP 189,71230,ST VALLIER,03 85 67 60 60 ,,,,
482,BOURGOGNE,Saone et Loire,710978347,HOTEL DIEU DU CREUSOT,,175 RUE MARECHAL FOCH,,71206,LE CREUSOT CEDEX,03 85 77 20 00 ,,,,
620,BOURGOGNE,Yonne,890002389,POLYCLINIQUE  STE MARGUERITE AUXERRE,,5 AVENUE FONT STE MARGUERITE,BP 90205,89003,AUXERRE CEDEX,03 86 94 49 49 ,,,,
621,BOURGOGNE,Yonne,890975527,CH AUXERRE,,2 BOULEVARD DE VERDUN,BP 69,89011,AUXERRE CEDEX,03 86 48 48 48 ,,,,
622,BOURGOGNE,Yonne,890975535,CH AVALLON,,1 RUE DE L'HÃ”PITAL,BP 197,89206,AVALLON CEDEX,03 86 34 66 00 ,,,,
623,BOURGOGNE,Yonne,890975543,CH JOIGNY,,3 QUAI DE L'HOPITAL,BP 229,89306,JOIGNY CEDEX,03 86 92 33 33 ,,,,
