,"Région","Dpt","FINNES","Raison.sociale","Complement.distribution","Adresse","Lieudit.BP","Code.postal","Libelle.routage","Tel","nom correspondant","mail","logiciel","editeur","RPU (OUI/NON)","Remarque"
282,"AUVERGNE","Loire Atlantique",440000396,"CENTRE HOSPITALIER ANCENIS",,"160 RUE DU VERGER","BP 229",44156,"ANCENIS CEDEX","02 40 09 44 00 ou 05",,"mohamed.kadi@ch-ancenis.fr 
sandra.melocco@ch-ancenis.fr","MAIL ATTENTE REPONSE",,,
283,"AUVERGNE","Loire Atlantique",440000503,"CENTRE HOSPITALIER CHATEAUBRIANT",,"9 RUE DE VERDUN","BP 229",44146,"CHATEAUBRIANT CEDEX","02 40 55 88 00 ou 01","","urgences.accueil@ch-chateaubriant.fr","URQUAL",,"OUI","en juillet"
284,"AUVERGNE","Loire Atlantique",440041580,"NOUVELLES CLINIQUES NANTAISES","SITE DU CONFLUENT","4 RUE ERIC TABARLY",,44277,"NANTES CEDEX 2","02 28 25 50 00 ou 15","Accueil des urgences : 02 28 25 50 15",,,,,
409,"AUVERGNE","Puy de Dôme",630000404,"CHU G. MONTPIED",,"58 RUE MONTALEMBERT",,63003,"CLERMONT FERRAND CEDEX 1","04 73 75 07 50 ou 15 50","","j.schmidt@chu-clermontferrand.fr","MAIL ATTENTE REPONSE",,"OUI",
410,"AUVERGNE","Puy de Dôme",630000412,"CENTRE HOSPITALIER D'AMBERT",,"14 AVENUE GEORGES CLEMENCEAU",,63600,"AMBERT","04 73 82 73 82 ou 92","","secretariat@ch-ambert.fr","MAIL ATTENTE REPONSE",,"OUI",
411,"AUVERGNE","Puy de Dôme",630000420,"CENTRE HOSPITALIER ISSOIRE PAUL ARDIER",,"13 RUE DU DR SAUVAT",,63503,"ISSOIRE CEDEX","04 73 89 72 72 ",,,,,"OUI",
412,"AUVERGNE","Puy de Dôme",630000438,"CENTRE HOSPITALIER DE RIOM",,"79 BOULEVARD ETIENNE CLEMENTEL","BP 167",63200,"RIOM","04 73 67 80 00 ou 61","","jl.marquet@ch-riom.fr","MAIL ATTENTE REPONSE",,"OUI",
413,"AUVERGNE","Puy de Dôme",630000446,"CENTRE HOSPITALIER DE THIERS",,"ROUTE DE FAU","BP 89",63307,"THIERS CEDEX","04 73 51 10 00 ",,,,,"OUI",
414,"AUVERGNE","Puy de Dôme",630780211,"POLE SANTE REPUBLIQUE",,"105 AVENUE DE LA REPUBLIQUE",,63050,"CLERMONT FERRAND CEDEX 2","08 26 30 44 99 ",,,,,"OUI",
415,"AUVERGNE","Puy de Dôme",630781268,"CHU ESTAING",,"1 PLACE LUCIE AUBRAC",,63003,"CLERMONT FERRAND CEDEX 1","04 73 75 07 50 ou 51 (pédiatrie)","","alabbe@chu-clermontferrand.fr","MAIL ATTENTE REPONSE",,"OUI",
