,X,RÃ©gion,Dpt,FINNES,Raison.sociale,Complement.distribution,Adresse,Lieudit.BP,Code.postal,Libelle.routage,Tel,nom.correspondant,mail,logiciel,editeur,RPU..OUI.NON.,Remarque
376,221,LANGUEDOC ROUSSILLON,Hérault,340780725,CLINIQUE VIA DOMITIA POLE DE SANTE,POLE DE SANTE PROF LOUIS SERRE,CHEMIN DES ALICANTES,,34400,LUNEL,04 67 91 92 00 ,NR,NR,O'SOFT,MEDIBASE,OUI,AUTOMATIQUE
377,222,LANGUEDOC ROUSSILLON,Hérault,340785161,HOPITAL LAPEYRONIE CHU MONTPELLIER,,371 AVENUE DU DOYEN GASTON GIRAUD,,34295,MONTPELLIER CEDEX 5,04 67 33 67 33 ou 79 74,GIRAUD Isabelle,i-giraud@chu-montpellier.fr,RESURGENCES,IMPROVE,OUI,AUTOMATIQUE
385,207,LANGUEDOC ROUSSILLON,Hérault,340000033,CENTRE HOSPITALIER BEZIERS,ZAC DE MONTMIRAN,2 RUE VALENTIN HAÃƒÅ“Y,BP 740,34525,BEZIERS CEDEX,04 67 35 70 35 ,PILOSSOF Romain, rometsev@free.fr,TERMINAL URGENCES,ORU-PACA,OUI,AUTOMATIQUE
378,300,LANGUEDOC ROUSSILLON,Lozère,480000017,CENTRE HOSPITALIER MENDE,,AVENUE DU 8 MAI 1945,,48001,MENDE CEDEX,04 66 49 49 49 ou 20,CHASSING Mars,"urgences@ch-mende.fr
marcchassing@ch-mende.fr",AUCUN,AUCUN,OUI,MANUEL
379,430,LANGUEDOC ROUSSILLON,Pyrennées Orientales,660000084,CH SAINT JEAN,,20 AVENUE DU LANGUEDOC,BP 49954,66046,PERPIGNAN CEDEX,04 68 61 66 33 ou 77 22,BLENET Jean-Christophe,jean-christophe.blenet@ch-perpignan.fr,URQUAL,Mc KESSON,OUI,AUTOMATIQUE
381,433,LANGUEDOC ROUSSILLON,Pyrennées Orientales,660780628,CLINIQUE DU VALLESPIR,,CHEMIN DE SAN PLUJET,,66400,CERET,04 68 87 12 55 ,NR,NR,SIGESOFT,SIGEMS,OUI,AUTOMATIQUE
382,434,LANGUEDOC ROUSSILLON,Pyrennées Orientales,660780776,CLINIQUE SAINT MICHEL,,25 AVENUE LOUIS PRAT,BP 25,66500,PRADES,04 68 96 03 16 ,CRETON Christophe, christophe.creton@cliniquesaintmichel.com,SIGESOFT,SIGEMS,OUI,AUTOMATIQUE
383,435,LANGUEDOC ROUSSILLON,Pyrennées Orientales,660780784,CLINIQUE SAINT PIERRE,,169 AVENUE DE PRADES,BP 92118,66012,PERPIGNAN CEDEX,04 68 56 26 26 ,MULLET Sandra, s.mullet@clinique-st-pierre.fr,SIGESOFT,SIGEMS,OUI,AUTOMATIQUE
384,436,LANGUEDOC ROUSSILLON,Pyrennées Orientales,660790387,POLYCLINIQUE SAINT ROCH,SITE MEDIPOLE,CHEMIN DU MAS ANGLADE,,66330,CABESTANY,04 68 66 10 10 ,NR,NR,SIGESOFT,SIGEMS,OUI,AUTOMATIQUE
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,
