"";"X";"Région";"Dpt";"FINNES";"Raison.sociale";"Complement.distribution";"Adresse";"Lieudit.BP";"Code.postal";"Libelle.routage";"Tel";"nom.correspondant";"mail";"logiciel";"editeur";"RPU..OUI.NON.";"Remarque"
"133";159;"BRETAGNE";"Finistère";"290000181";"CENTRE HOSPITALIER DOUARNENEZ";"";"83 RUE LAENNEC";"BP 156";"29171";"DOUARNENEZ CEDEX";"02 98 75 10 10 OU 15 15";"";"myriam.zyro@ch-douarnenez.fr";"MAIL ATTENTE REPONSE";"";"NON";""
"134";160;"BRETAGNE";"Finistère";"290000256";"CHRU BREST SITE HOPITAL DE CARHAIX";"";"RUE DR MENGUY";"BP 157";"29835";"CARHAIX PLOUGUER CEDEX";"02 98 99 20 20 ou 23 00";"";"";NA;"";"OUI";""
"135";161;"BRETAGNE";"Finistère";"290000728";"HOPITAL INSTRUCTION DES ARMEES";"";"RUE COLONEL FONFERRIER";"";"29240";"BREST CEDEX 9";"02 98 43 70 00 ";"";"";NA;"";"OUI";""
"136";162;"BRETAGNE";"Finistère";"290000785";"ETABLISSEMENT DE SOINS HOTEL DIEU";"";"RUE ROGER SIGNOR";"BP 67";"29120";"PONT L ABBE";"02 98 82 40 40 ";"";"";NA;"";"OUI";""
"137";163;"BRETAGNE";"Finistère";"290000934";"C.H DE QUIMPERLE SITE LA VILLENEUVE";"";"20 AVENUE MARECHAL LECLERC";"";"29391";"QUIMPERLE CEDEX";"02 98 96 60 00 ou 62 15";"";"e.gueguen@ch-quiperle.fr
e.renaud@ch-quimperle.fr";"NON INFORMATISE";"déploiement partiel par SILLAGE nov 2014";"NON ";""
"138";164;"BRETAGNE";"Finistère";"290004324";"CHRU BREST SITE HOPITAL CAVALE BLANCHE";"";"BOULEVARD TANGUY PRIGENT";"BP 824";"29609";"BREST CEDEX 2";"02 98 22 33 33 ou 34 74 57 ";"";"philippe.coat@chu-brest.fr";"URQUAL";"
";"OUI";""
"139";165;"BRETAGNE";"Finistère";"290019777";"POLYCLINIQUE DE KERAUDREN";"";"RUE ERNESTINE DE TREMAUDAN";"BP 62043";"29220";"BREST CEDEX 2";"02 98 34 29 29 ";"";"";NA;"";"OUI";""
"140";166;"BRETAGNE";"Finistère";"290029982";"SMUR SITE CH DOUARNENEZ - CHIC";"";"83 RUE LAENNEC";"BP 156";"29100";"DOUARNENEZ";"";"";"";NA;"";"NON";""
"141";223;"BRETAGNE";"Ille et Vilaine";"350000121";"CHP SAINT GREGOIRE";"";"6 BOULEVARD DE LA BOUTIERE";"CS 56816";"35768";"ST GREGOIRE CEDEX";"02 99 23 33 33 ";"";"";NA;"";"OUI";""
"142";224;"BRETAGNE";"Ille et Vilaine";"350000147";"CENTRE HOSPITALIER SAINT-MALO";"CH BROUSSAIS";"1 RUE DE LA MARNE";"";"35403";"ST MALO CEDEX";"02 99 21 21 21 OU 28.36";"";"I.basle@ch-stmalo.fr
I.verley@ch-stmalo.fr";"MAIL ATTENTE REPONSE";"";"OUI";""
"143";225;"BRETAGNE";"Ille et Vilaine";"350000154";"C.H FOUGERES";"";"133 RUE DE LA FORET";"BP 10561";"35305";"FOUGERES CEDEX";"02 99 17 70 00 ou 70";"";"medecins.urgences@ch-fougeres.fr
craffay@ch-fougeres.fr";"SILLAGE";"";"OUI";""
"144";226;"BRETAGNE";"Ille et Vilaine";"350000162";"CENTRE HOSPITALIER DE REDON";"";"8 AVENUE ETIENNE GASCON";"BP 139";"35603";"REDON CEDEX";"02 99 71 71 71 OU 96";"";"eric.herno@ch-redon.fr";"SILLAGE";"";"NON";"sillage urgence en octobre remontée des RPU alors possible"
"145";227;"BRETAGNE";"Ille et Vilaine";"350000188";"CENTRE HOSPITALIER   VITRE";"";"30 ROUTE DE RENNES";"";"35506";"VITRE CEDEX";"02 99 74 14 14 OU 62";"";"secretariat.urgences@ch-vitre.fr
Patrick.wiener@ch-vitre.fr";"SILLAGE";"";" OUI";"partiellement"
"146";228;"BRETAGNE";"Ille et Vilaine";"350000741";"CHRU RENNES SITE PONTCHAILLOU";"PONTCHAILLOU";"2 RUE HENRI LE GUILLOUX";"";"35000";"RENNES";"02 99 28 43 21 ou 93 40";"";"secretariatsau@chu-rennes.fr
philippe.seguin@chu-rennes.fr";"RESURGENCES";"";"OUI";""
"147";229;"BRETAGNE";"Ille et Vilaine";"350005146";"HOPITAL PRIVE SEVIGNE";"";"3 RUE DU CHENE GERMAIN";"CS 27608";"35576";"CESSON SEVIGNE CEDEX";"02 99 25 50 50 ";"";"";NA;"";"OUI";""
"148";230;"BRETAGNE";"Ille et Vilaine";"350007084";"CHRU RENNES SITE HOPITAL SUD";"";"16 BOULEVARD DE BULGARIE";"BP 90349";"35000";"RENNES";"02 99 26 67 44 ";"";"";NA;"";"OUI";""
"149";338;"BRETAGNE";"Morbihan";"560000127";"CHBA SITE DE VANNES";"";"20 BOULEVARD GENERAL M GUILLAUDOT";"BP 70555";"56017";"VANNES CEDEX";"02 97 01 41 41 ";"";"";NA;"";"OUI";""
"150";339;"BRETAGNE";"Morbihan";"560000135";"CHBS- HOPITAL DU SCORFF";"SITE BODELIO";"5 AVENUE DE CHOISEUL";"BP 12233";"56322";"LORIENT CEDEX";"02 97 06 90 90 ";"";"sec.urgence@ch-bretagne-sud.fr";"MAIL ATTENTE REPONSE";"";"OUI";""
"151";340;"BRETAGNE";"Morbihan";"560000143";"CHCB- SITE KERIO";"";"KERIO";"BP 23";"56920";"NOYAL PONTIVY";"02 97 79 00 00 ";"";"";NA;"";"OUI";""
"152";341;"BRETAGNE";"Morbihan";"560000192";"CENTRE HOSPITALIER DE PLOERMEL";"";"7 RUE DU ROI ARTHUR";"BP 131";"56800";"PLOERMEL";"02 97 73 26 26 ";"";"tarik.cherfaoui@ch-ploermel.fr";"MAIL ATTENTE REPONSE";"";"OUI";""
"153";342;"BRETAGNE";"Morbihan";"560000200";"CHBA SITE D'AURAY";"";"2 RUE DU PRATEL";"";"56400";"AURAY";"02 97 56 42 42 ";"";"";NA;"";"OUI ";""
"154";343;"BRETAGNE";"Morbihan";"560024457";"ANTENNE URGENCE SITE D'AURAY CHBA";"";"RUE DU DOCTEUR LAENNEC";"";"56400";"AURAY";"";"";"";NA;"";"";""
